species,s.0,s.1,s.2,s.3,s.4,s.5,s.6,s.7,s.8,index,stat,p.value
Lime,1,1,1,1,1,1,1,1,1,511,0.46534397188042537,NA
Sycamore,1,1,1,1,0,1,1,1,1,506,0.6881036229799193,0.003
Brambles,1,1,1,1,1,1,0,1,1,504,0.7325991316305706,0.001
Bracken,0,1,0,1,0,0,0,0,0,19,0.2973856763156415,0.002
Cocks_foot,0,1,1,0,1,1,0,1,1,450,0.34935381529862863,0.095
Herb_Robert,1,1,1,1,0,1,1,0,0,386,0.4431355241235071,0.001
Buttercup_creeping,1,1,1,1,1,1,0,1,1,504,0.5987890675209744,0.007
Wood_avens,1,1,1,1,0,1,0,0,1,388,0.6520948874799835,0.001
Broad-leaved_Dock,1,1,1,1,1,1,0,1,1,504,0.5689485241885632,0.012
Willowherb,1,1,1,1,1,1,1,1,1,511,0.5980503604017327,NA
Ash,1,1,1,1,1,1,1,1,1,511,0.589857502689691,NA
Beech,0,0,0,1,0,1,0,0,1,116,0.3694552091115312,0.003
Holly,0,1,1,1,0,1,0,0,0,187,0.43642873184261366,0.001
Ivy,1,1,1,1,0,1,0,0,0,257,0.5020809640341164,0.001
Buttercup_meadow,0,1,0,0,0,1,0,1,0,90,0.3289518830411609,0.036
Dandelion,1,1,1,0,1,1,1,1,1,507,0.7282598471641597,0.001
Red_Campion,1,0,1,1,0,1,0,0,0,152,0.17770466332772772,0.354
Ragworts,1,1,1,0,1,1,1,1,1,507,0.5436879977010122,0.053
Oak,0,1,1,1,0,1,0,1,1,446,0.5165479681664928,0.001
Hawthorn,1,1,1,1,1,1,0,1,0,467,0.5204477277887865,0.001
Cherry,1,1,1,1,0,1,1,1,1,506,0.4500351603704096,0.124
Maple,1,1,1,1,1,0,0,0,1,385,0.3067200058179254,0.15
Birch,1,1,1,1,0,1,1,1,1,506,0.5056641202731765,0.025
Blackthorn,0,1,1,1,0,1,0,1,1,446,0.20203050891044214,0.474
Nettles,1,1,1,1,1,1,0,1,1,504,0.6340369372747575,0.001
Clover_white,1,0,1,0,1,1,1,1,1,492,0.5885198122343888,0.001
Buddleja,1,1,1,0,0,0,1,0,0,133,0.3910262379417621,0.001
Daisy,1,0,1,0,1,1,1,0,1,428,0.47701733099440663,0.001
Horse-chestnut,1,1,1,1,0,1,0,1,1,474,0.2715627232967842,0.244
Hogweed,0,1,1,1,0,0,0,1,0,189,0.3918747097993084,0.002
Common_reed,0,1,0,1,1,1,0,1,1,455,0.26703673917561044,0.176
Thistles,1,1,1,0,1,0,1,1,1,479,0.4162943240731421,0.012
Clover_red,0,0,1,0,1,0,0,1,0,102,0.3294434944310333,0.009
Vetch,0,1,1,0,1,0,0,1,0,193,0.3558891210499608,0.002
Poplar,1,1,1,1,0,1,1,1,1,506,0.26624439139513734,0.813
Elder,1,1,1,1,0,1,0,1,1,474,0.35253237649499175,0.049
Ground_based_fungi,1,0,0,0,0,1,1,1,1,325,0.20221818243805423,0.383
Horsetail,1,1,1,1,0,0,1,1,1,475,0.37179974390607257,0.128
Crab_Apple,1,1,1,1,0,1,1,0,1,473,0.26942472269283574,0.383
Alder,0,1,1,1,0,1,0,0,1,332,0.3657875811362269,0.003
Bindweed,1,1,1,1,0,1,0,0,1,388,0.380877310670122,0.015
Rowan,1,1,1,1,1,1,1,0,1,503,0.33480406285401304,0.73
Dogwood,0,0,0,0,0,0,1,1,1,129,0.15665208999759148,0.617
Hazel,0,1,1,0,0,1,0,0,0,76,0.2184874929832164,0.219
Common_rush,0,1,1,0,0,0,0,1,0,78,0.3028368969886836,0.005
Yellow-flag_iris,0,1,1,1,0,0,0,0,0,74,0.25400929794880095,0.024
Scots pine,0,0,0,1,0,0,1,0,1,118,0.1706435147780736,0.447
Privet,1,0,1,0,0,1,0,0,0,55,0.21581093381621885,0.496
Wood_based_fungi,1,1,0,1,0,1,1,1,1,485,0.158999682000954,0.976
Cleavers,1,1,1,0,0,1,0,1,0,266,0.3163266755656631,0.084
Cowslip,0,1,1,0,0,1,0,0,1,197,0.3617437231718269,0.002
Knotweed,0,1,1,0,0,0,0,0,0,18,0.2931025495238919,0.026
Whitebeam,1,0,0,0,0,0,1,0,1,72,0.1706435147780736,0.487
Rose,1,1,1,1,1,1,1,0,1,503,0.2856540353508737,0.64
Yew,0,0,0,0,0,1,0,0,0,6,0.18107149208503706,0.174
Willow,0,1,1,1,1,1,0,0,1,440,0.39347773113993545,0.002
Balsam,0,1,1,1,0,0,0,0,0,74,0.4589913471588206,0.001
Bulrush,0,0,1,0,0,0,0,1,0,29,0.1414213562373095,0.552
Bistort,0,1,0,0,1,0,0,0,0,20,0.1953050245005988,0.303
Maidenhair_spleenwort,1,0,1,0,0,1,1,0,1,308,0.15585730003983933,0.73
Wall-rue,1,0,0,0,0,0,1,0,0,15,0.19900743804199783,0.07
Plane,0,0,0,0,0,1,0,0,0,6,0.2830341921802253,0.014
Hornbeam,1,0,1,1,0,0,1,0,1,299,0.18280314656667992,0.795
Harts_tongue,0,0,0,1,0,0,0,0,0,4,0.20393021718084195,0.084
Yorkshire_fog,1,1,1,0,1,1,1,1,1,507,0.33105932228218893,0.582
Lilac,0,0,1,0,0,0,0,0,0,3,0.16012815380508713,0.143
Larch,0,0,0,1,0,1,0,1,0,115,0.13403011548263108,0.976
Honeysuckle,1,1,0,0,0,0,1,0,0,50,0.14484136487558028,0.583
Rhododendron_ponticum,0,0,0,1,0,0,0,0,0,4,0.40966107483750214,0.001
Hogweed_Giant,0,0,0,0,0,0,0,1,0,8,0.12803687993289598,1
Hard_fern,0,1,0,1,0,0,0,0,0,19,0.15161960871578067,0.309
Marsh_Marigold,0,0,1,0,0,0,0,0,0,3,0.1950308133846252,0.099
Elm,0,0,0,1,0,0,0,0,1,35,0.14824986333222023,0.371
