title,herb,shrb,smll_tree,lrg_tree,habitat_complexity,ndvi,connected_greenspace_point6_area,connected_greenspace_point8_area,connected_tree_5m_area,days_into_survey,year,hour_of_day,survey_square,land_use
389 12,0.57,0.065,0.09,0.275,0.67,0.92,0.1,1,0,90,2024,18,389,Public cemetery
389 10,0.322,0.08,0.11,0.468,0.78,0.91,0.1,1,0.03,90,2024,18,389,Non-protected woodland
389 9,0.272,0.062,0.12,0.328,0.92,0.92,0.1,1,0,90,2024,18,389,Non-protected woodland
389 5,0.255,0.125,0.162,0.458,0.79,0.92,0.1,1,0.01,90,2024,18,389,Public park
389 2,0.64,0.018,0.035,0.308,0.52,0.76,0.1,1,0.03,90,2024,18,389,Public park
485 12,0.408,0.095,0.022,0,0.64,0.52,0,0,0,90,2024,17,485,Public residential
485 4,0.815,0.013,0.007,0.002,0.36,0.48,0,0,0,90,2024,17,485,Public park
485 3,0.45,0.11,0.2,0.24,0.79,0.6,0.07,0,0.01,90,2024,17,485,Public park
485 9,0.22,0.05,0.108,0.455,0.86,0.86,0.07,0.25,0,90,2024,17,485,Public park
485 5,0.68,0.052,0.075,0.192,0.58,0.81,0.07,0.25,0.1,90,2024,17,485,Public park
485 1,1,0,0,0,0,0.83,0.07,0.25,0,90,2024,17,485,Public park
618 7,0.748,0.028,0.078,0.092,0.56,0.72,0,0,0,90,2024,16,618,Public park
618 10,0.062,0.005,0,0,0.17,0.59,0,0,0,90,2024,16,618,Public residential
619 5,0.462,0.045,0.082,0.055,0.77,0.29,0,0,0,90,2024,16,619,Other
619 3,0.767,0.035,0,0,0.4,0.37,0,0,0,90,2024,16,619,Public park
619 7,0.713,0.035,0.03,0.018,0.54,0.58,0,0,0,90,2024,16,619,Public residential
619 10,0.455,0.23,0.038,0,0.73,0.61,0,0,0,90,2024,16,619,Public residential
619 4,0.787,0.018,0.045,0.075,0.49,0.45,0,0,0,90,2024,16,619,Public residential
619 1,0.882,0.007,0,0,0.24,0.59,0,0,0,90,2024,15,619,Public residential
779 11,0.51,0.15,0.148,0.192,0.77,0.83,0.02,0.05,0.03,90,2024,15,779,Nature reserve
779 4,0,0,0,0,0,0.6,0.02,0,0,90,2024,15,779,Nature reserve
779 5,0.112,0.142,0.28,0.32,0.95,0.71,0.02,0,0,90,2024,15,779,Nature reserve
779 1,1,0,0,0,0,0.89,0.02,0.02,0.01,90,2024,15,779,Nature reserve
779 10,0.378,0.117,0.035,0.025,0.74,0.57,0,0,0,90,2024,14,779,Public roadside
876 2,0.258,0.078,0.142,0.448,0.86,0.72,0,0,0,90,2024,14,876,Public square
876 4,0.865,0,0,0,0.25,0.81,0,0,0,90,2024,14,876,Public carpark
876 1,0,0,0,0,0,0.41,0,0,0,90,2024,14,876,Private commercial
876 6,0.575,0.028,0.045,0.07,0.69,0.74,0,0,0,90,2024,14,876,Public residential
876 8,0.828,0.072,0.007,0,0.38,0.67,0,0,0,90,2024,13,876,Public residential
876 3,0.875,0,0,0,0.24,0.61,0,0,0,90,2024,13,876,Public park
908 9,0.72,0.018,0.025,0.055,0.54,0.75,1,0,0,90,2024,13,908,Public park
908 3,0.78,0.015,0.025,0.007,0.43,0.7,1,0,0,90,2024,13,908,Public park
908 6,0.478,0.08,0.105,0.238,0.85,0.78,1,0,0,90,2024,13,908,Public park
908 4,1,0,0,0,0,0.71,1,0,0,90,2024,12,908,Public park
908 2,0.76,0.058,0.075,0.108,0.5,0.85,1,0.03,0,90,2024,12,908,Public park
908 5,0.117,0.072,0.095,0.71,0.58,0.87,1,0.03,0,90,2024,12,908,Public park
908 1,0.993,0.005,0,0.002,0.03,0.75,1,0,0,90,2024,12,908,Public park
875 11,0.115,0.12,0.152,0.022,0.74,0.34,0,0,0,89,2024,20,875,Private commercial
875 4,0.77,0.015,0.028,0.028,0.47,0.48,0,0,0,89,2024,19,875,Public park
875 2,1,0,0,0,0,0.72,0,0,0,89,2024,19,875,Other
781 1,0.02,0.032,0.03,0.01,0.27,0.74,0,0,0,89,2024,19,781,Other
982 4,0.583,0.155,0.072,0.068,0.77,0.39,0,0,0,89,2024,19,982,Public park
982 2,0.968,0.013,0,0,0.1,0.72,0,0,0,89,2024,18,982,Public park
830 4,0.55,0.022,0.045,0.272,0.72,0.81,0.01,0,0,89,2024,18,830,Public park
830 1,0.525,0.082,0.172,0.22,0.74,0.84,0.01,0,0,89,2024,18,830,Public park
731 1,1,0,0,0,0,0.82,0,0.02,0,89,2024,18,731,Public park
731 3,0.2,0.038,0.095,0.268,0.87,0.82,0,0,0,89,2024,17,731,Public park
731 8,0.61,0.035,0.088,0,0.62,0.69,0,0,0,89,2024,17,731,Public park
731 4,1,0,0,0,0,0.85,0,0.02,0,89,2024,17,731,Public park
731 2,0.583,0.12,0.142,0.155,0.71,0.86,0,0.02,0.02,89,2024,17,731,Public park
667 6,0.462,0.043,0.04,0.022,0.67,0.69,0,0,0,89,2024,17,667,Other
667 9,0.018,0.018,0.002,0,0.12,0.35,0,0,0,89,2024,17,667,Private commercial
422 5,0.488,0.08,0.125,0.285,0.78,0.82,0.1,0,0,89,2024,16,422,Nature reserve
422 11,0.35,0.172,0.208,0.205,0.94,0.83,0,0,0,89,2024,16,422,Nature reserve
422 4,0.31,0.21,0.105,0.18,0.97,0.9,0.1,0,0,89,2024,16,422,Nature reserve
422 1,0.745,0.145,0.092,0.018,0.49,0.65,0,0,0,89,2024,16,422,Nature reserve
422 7,0.355,0.085,0.082,0.298,0.91,0.88,0.1,1,0,89,2024,16,422,Nature reserve
422 6,0.248,0.16,0.168,0.425,0.81,0.81,0.1,0,0,89,2024,15,422,Nature reserve
422 10,0.405,0.015,0.032,0.125,0.73,0.8,0.1,0,0,89,2024,15,422,Nature reserve
410 1,0.685,0.088,0.07,0.158,0.59,0.9,0.06,0.43,0.12,89,2024,15,410,Nature reserve
410 2,0.025,0.048,0.1,0.828,0.39,0.9,0.06,0.43,0.02,89,2024,15,410,Nature reserve
410 3,0.34,0.148,0.18,0.28,0.92,0.9,0.06,0.43,0.12,89,2024,15,410,Nature reserve
410 9,0.345,0.112,0.16,0.382,0.8,0.92,0.06,0.43,0,89,2024,14,410,Nature reserve
410 4,0.152,0.117,0.178,0.552,0.73,0.89,0.06,0.43,0.06,89,2024,14,410,Nature reserve
410 10,0.128,0.47,0.08,0.322,0.74,0.92,0.06,0.43,0.24,89,2024,14,410,Nature reserve
410 5,0.368,0.12,0.368,0.145,0.79,0.84,0.06,0.43,0.24,89,2024,14,410,Sports field
377 2,0.855,0.07,0.035,0.04,0.35,0.73,0.06,0,0.24,89,2024,14,377,Sports field
377 5,0.428,0.095,0.165,0.312,0.78,0.89,0.06,0.43,0.01,89,2024,13,377,Sports field
377 1,1,0,0,0,0,0.78,0.06,0,0,89,2024,13,377,Sports field
377 7,1,0,0,0,0,0.73,0.06,0,0,89,2024,13,377,Sports field
377 4,1,0,0,0,0,0.83,0.06,0.43,0,89,2024,13,377,Sports field
377 6,1,0,0,0,0,0.73,0.06,0,0,89,2024,13,377,Sports field
377 3,1,0,0,0,0,0.8,0.06,0,0,89,2024,13,377,Sports field
821 8,0.62,0.208,0.135,0.013,0.65,0.45,0,0,0,76,2024,17,821,Private residential
821 3,0.535,0.115,0.088,0.015,0.75,0.52,0,0,0,76,2024,17,821,Public residential
821 11,0,0,0,0,0,0.21,0,0,0,76,2024,17,821,Private commercial
823 1,0.19,0.032,0.075,0.703,0.54,0.81,0,0,0.01,76,2024,17,823,Public park
823 10,0,0,0,0,0,0.2,0,0,0,76,2024,16,823,Other
823 2,0,0,0,0,0,0.1,0,0,0,76,2024,16,823,Private commercial
823 7,0.96,0.005,0.018,0,0.13,0.71,0,0,0,76,2024,16,823,Other
633 2,0.295,0.128,0.15,0.23,0.98,0.87,0,0.01,0,76,2024,16,633,Other
633 12,0.398,0.12,0.055,0.005,0.73,0.67,0,0,0,76,2024,15,633,Public residential
661 4,0.51,0.062,0.085,0.342,0.68,0.81,0,0,0.01,76,2024,15,661,Public park
661 6,0.222,0.035,0.078,0.465,0.83,0.82,0,0,0,76,2024,15,661,Public park
661 8,0.102,0.022,0.048,0.59,0.7,0.74,0,0,0,76,2024,15,661,Public park
661 1,0.12,0.055,0.078,0.488,0.82,0.79,0,0,0,76,2024,15,661,Public park
661 5,0.155,0.043,0.07,0.37,0.84,0.82,0,0.01,0,76,2024,14,661,Public park
661 2,0.482,0.052,0.088,0.275,0.82,0.88,0,0.01,0,76,2024,14,661,Public park
661 3,0.325,0.04,0.07,0.382,0.85,0.8,0,0.01,0,76,2024,14,661,Public park
497 12,0.07,0.01,0,0,0.19,0.21,0,0,0,76,2024,14,497,Private commercial
497 5,0.458,0.11,0.06,0.035,0.78,0.48,0,0,0,76,2024,13,497,Private residential
497 1,0.557,0.028,0.04,0.075,0.69,0.65,0,0,0,76,2024,13,497,Public residential
497 4,0,0,0,0,0,0.11,0,0,0,76,2024,13,497,Private commercial
497 10,0.078,0.105,0.062,0.05,0.63,0.5,0,0,0,76,2024,13,497,Private commercial
497 11,0.17,0.058,0.028,0.007,0.52,0.3,0,0,0,76,2024,13,497,Private commercial
242 2,0,0,0,0,0,0.17,0,0,0,59,2024,19,242,Private commercial
145 7,0.655,0.198,0.092,0.045,0.63,0.79,0,0,0,59,2024,18,145,Other
145 9,0.34,0.085,0.1,0.36,0.89,0.78,0,0,0,59,2024,18,145,Public residential
112 7,0.965,0.005,0.013,0.01,0.12,0.62,0,0,0,59,2024,18,112,Public residential
112 3,0.73,0.015,0.038,0.043,0.53,0.79,0,0,0,59,2024,18,112,Public park
112 5,0.517,0.152,0.092,0.038,0.81,0.7,0,0,0,59,2024,17,112,Public park
112 2,1,0,0,0,0,0.77,0,0,0,59,2024,17,112,Public park
108 10,0.715,0.038,0.1,0.145,0.55,0.86,0.66,0.3,0.17,59,2024,17,108,Other
108 7,0.79,0.022,0.035,0.01,0.45,0.82,0.66,0.3,0,59,2024,17,108,Other
108 3,0.767,0.02,0.038,0.168,0.46,0.88,0.66,0.3,0.07,59,2024,17,108,Other
108 1,0.28,0.11,0.175,0.435,0.79,0.89,0.66,0.3,0.11,59,2024,17,108,Other
108 4,0.362,0.312,0.175,0.15,0.83,0.87,0.66,0.3,0.11,59,2024,16,108,Other
171 1,0.16,0.088,0.182,0.57,0.71,0.81,0.01,0,0,59,2024,16,171,Public park
203 11,0.105,0.065,0.117,0.688,0.63,0.79,0.01,0,0.01,59,2024,16,203,Other
203 6,0.28,0.082,0.378,0.26,0.8,0.89,0.01,0.03,0.05,59,2024,16,203,Other
203 4,0.302,0.105,0.245,0.348,0.82,0.88,0.01,0.03,0.05,59,2024,15,203,Other
203 2,0.235,0.058,0.098,0.42,0.88,0.79,0.01,0,0,59,2024,15,203,Other
203 5,0.152,0.135,0.23,0.428,0.89,0.86,0,0,0,59,2024,15,203,Other
203 8,0.115,0.17,0.242,0.37,0.93,0.52,0,0,0,59,2024,15,203,Other
203 9,0.305,0.02,0.048,0.627,0.55,0.73,0,0,0,59,2024,15,203,Private residential
202 2,0.378,0.158,0.252,0.162,0.91,0.77,0,0,0.01,59,2024,15,202,Sports field
202 1,0.845,0.125,0.022,0.007,0.33,0.84,0,0,0.01,59,2024,14,202,Sports field
202 8,0.59,0.048,0.102,0.18,0.75,0.73,0,0,0,59,2024,14,202,Private residential
202 6,0.055,0.028,0.028,0.043,0.39,0.44,0,0,0,59,2024,14,202,Public carpark
702 1,0.288,0.013,0.08,0.12,0.76,0.56,0,0,0,55,2024,17,702,Public residential
799 9,0.252,0.12,0.188,0.38,0.91,0.92,0.1,0.07,0.03,55,2024,16,799,Non-protected woodland
799 1,0,0,0,0,0,0.71,0,0,0,55,2024,16,799,Other
922 4,0.112,0.058,0.02,0.025,0.48,0.56,0,0,0,55,2024,15,922,Public carpark
922 8,1,0,0,0,0,0.74,0.01,0,0,55,2024,15,922,Public park
922 7,0.5,0.132,0.188,0.117,0.85,0.63,0,0,0.04,55,2024,15,922,Public residential
922 1,0.65,0.06,0.13,0.158,0.64,0.81,0,0,0,55,2024,15,922,Other
987 5,0.748,0.002,0,0,0.36,0.59,0,0,0,55,2024,15,987,Public park
1020 6,0.932,0.06,0.007,0,0.17,0.86,1,0.49,0,55,2024,14,1020,Nature reserve
1020 4,0.418,0.208,0.128,0.248,0.81,0.89,1,0.49,0.56,55,2024,14,1020,Nature reserve
1020 1,0.532,0.058,0.108,0.302,0.69,0.87,1,0.49,0.56,55,2024,14,1020,Nature reserve
1020 5,1,0,0,0,0,0.86,1,0.49,0,55,2024,14,1020,Nature reserve
1020 3,0.12,0.052,0.135,0.605,0.75,0.88,1,0.49,0,55,2024,13,1020,Nature reserve
1020 11,0.562,0.043,0.088,0.192,0.77,0.86,1,0.49,0,55,2024,13,1020,Public cemetery
1020 8,0.805,0.048,0.052,0.038,0.48,0.75,1,0,0,55,2024,13,1020,Public cemetery
990 6,0.345,0.072,0.16,0.422,0.76,0.86,1,0.49,0.03,55,2024,12,990,Nature reserve
989 3,0.845,0,0,0,0.27,0.87,1,0.49,0,55,2024,12,989,Nature reserve
989 5,0.4,0.115,0.202,0.282,0.81,0.88,1,0.49,0.09,55,2024,12,989,Nature reserve
989 2,0.46,0.048,0.048,0.17,0.81,0.82,1,0.49,0,55,2024,12,989,Nature reserve
989 11,0.28,0.132,0.13,0.288,0.97,0.84,1,0,0,55,2024,12,989,Nature reserve
989 8,1,0,0,0,0,0.87,1,0.49,0,55,2024,12,989,Nature reserve
989 6,1,0,0,0,0,0.87,1,0.49,0,55,2024,12,989,Nature reserve
989 1,0.18,0.168,0.1,0.465,0.88,0.83,1,0.49,0,55,2024,11,989,Nature reserve
990 8,0.225,0.1,0.185,0.49,0.77,0.89,1,0.49,0.03,55,2024,11,990,Non-protected woodland
990 9,0.318,0.178,0.148,0.358,0.83,0.9,1,0.49,0.04,55,2024,11,990,Other
990 5,0.625,0.155,0.035,0.032,0.69,0.79,1,0.49,0,55,2024,11,990,Other
990 3,0.505,0.055,0.098,0.19,0.83,0.77,1,0.49,0,55,2024,11,990,Other
990 1,0.162,0.182,0.415,0.24,0.82,0.88,1,0.49,0.04,55,2024,11,990,Other
990 7,0.812,0.168,0.018,0.002,0.35,0.87,1,0.49,0.04,55,2024,11,990,Public roadside
1084 2,0.642,0.085,0.068,0.068,0.71,0.69,0,0,0,55,2024,10,1084,Public park
1084 7,0.152,0.02,0.035,0,0.42,0.34,0,0,0,55,2024,10,1084,Public residential
1084 12,0.328,0,0,0.022,0.46,0.16,0,0,0,55,2024,10,1084,Public square
1084 6,0.32,0.24,0.245,0.185,0.88,0.74,1,0,0,55,2024,10,1084,Non-protected woodland
1084 9,0.435,0.138,0.1,0.268,0.87,0.82,1,0.49,0.04,55,2024,9,1084,Non-protected woodland
1084 3,0.598,0.007,0.03,0.302,0.62,0.67,1,0,0.01,55,2024,9,1084,Public park
1083 1,0.292,0.082,0.085,0.045,0.79,0.56,1,0,0,55,2024,9,1083,Private residential
1083 6,1,0,0,0,0,0.77,1,0,0,55,2024,9,1083,Other
1083 2,0.07,0.06,0.098,0,0.49,0.43,0,0,0,55,2024,9,1083,Private residential
248 6,0.465,0.128,0.122,0.285,0.77,0.86,0.01,0.16,0.33,48,2024,15,248,Public park
248 5,0.873,0.062,0.062,0.002,0.3,0.87,0.01,0.16,0.33,48,2024,15,248,Other
248 9,0.635,0.13,0.2,0.035,0.62,0.85,0.01,0.16,0.33,48,2024,14,248,Other
248 2,0.585,0.135,0.128,0.152,0.71,0.87,0.01,0.16,0.33,48,2024,14,248,Other
248 8,0.248,0.068,0.19,0.495,0.74,0.86,0.01,0.16,0.33,48,2024,14,248,Other
248 7,0.595,0.162,0.185,0.058,0.68,0.87,0.01,0.16,0.33,48,2024,14,248,Other
248 3,0.492,0.09,0.148,0.27,0.75,0.91,0.01,0.16,0.33,48,2024,14,248,Other
311 1,0.86,0.015,0.035,0.09,0.33,0.84,0,0.01,0,48,2024,13,311,Public park
311 6,0.39,0.028,0.055,0.17,0.81,0.86,0,0.01,0,48,2024,13,311,Public park
311 8,0.705,0.04,0.06,0.195,0.54,0.84,0,0.01,0.01,48,2024,13,311,Public park
311 7,0.655,0.13,0.16,0.055,0.62,0.82,0,0.01,0.02,48,2024,13,311,Public park
311 5,0.25,0.112,0.138,0.248,0.97,0.82,0,0.01,0,48,2024,13,311,Public park
311 9,0.248,0.095,0.148,0.308,0.96,0.78,0,0,0,48,2024,13,311,Public park
343 6,0.512,0.03,0.102,0.34,0.69,0.75,0,0,0,48,2024,13,343,Public residential
342 6,0.268,0.122,0.205,0.252,0.98,0.26,0,0,0,48,2024,12,342,Other
342 1,0.17,0.005,0.002,0.002,0.33,0.38,0,0,0,48,2024,12,342,Other
342 8,0,0,0,0,0,0.19,0,0,0,48,2024,12,342,Public residential
342 5,0.018,0.07,0.05,0,0.33,0.3,0,0,0,48,2024,12,342,Public residential
237 9,0.63,0.055,0.112,0.202,0.64,0.82,0,0,0,47,2024,18,237,Public residential
237 5,1,0,0,0,0,0.63,0,0,0,47,2024,18,237,Sports field
300 3,0.33,0.252,0.158,0.242,0.89,0.75,0,0,0,47,2024,18,300,Public park
300 7,0.418,0.02,0.085,0.265,0.83,0.87,0,0.02,0,47,2024,18,300,Public park
300 6,0.875,0.005,0.018,0.005,0.29,0.88,0,0.02,0,47,2024,18,300,Public park
300 4,0.235,0.035,0.058,0.098,0.73,0.87,0,0.02,0,47,2024,17,300,Public park
300 1,0.288,0.068,0.105,0.54,0.69,0.81,0,0.02,0.01,47,2024,17,300,Public park
300 5,0.568,0.04,0.07,0.158,0.77,0.87,0,0.02,0,47,2024,17,300,Public park
300 8,0.04,0.018,0.08,0.583,0.67,0.48,0,0,0,47,2024,17,300,Private residential
299 2,0.328,0.055,0.105,0.27,0.91,0.82,0,0.02,0,47,2024,17,299,Public park
299 3,0.945,0.028,0.015,0.013,0.17,0.89,0,0.02,0.02,47,2024,17,299,Public park
299 8,0.078,0.025,0.05,0.5,0.72,0.87,0,0.02,0,47,2024,16,299,Public park
299 5,0.422,0.09,0.08,0.408,0.72,0.81,0,0.02,0.01,47,2024,16,299,Public park
299 4,0.185,0.142,0.26,0.412,0.82,0.89,0,0.02,0.06,47,2024,16,299,Public park
299 1,0.36,0.152,0.135,0.352,0.81,0.8,0,0,0.01,47,2024,16,299,Public park
299 7,0.88,0.02,0.002,0,0.27,0.75,0,0,0,47,2024,16,299,Public park
298 6,0.495,0.02,0,0,0.49,0.55,0.1,0,0,47,2024,15,298,Sports field
298 3,0.818,0.043,0.05,0.09,0.42,0.8,0.1,0,0,47,2024,15,298,Sports field
298 4,1,0,0,0,0,0.69,0.1,0,0,47,2024,15,298,Sports field
298 1,0.142,0.02,0.032,0.032,0.49,0.64,0.1,0,0,47,2024,15,298,Public carpark
298 11,0.072,0.01,0.075,0.105,0.56,0.38,0,0,0,47,2024,15,298,Private residential
363 2,0.228,0.102,0.182,0.488,0.77,0.79,0.1,0,0.05,47,2024,14,363,Other
363 8,0.132,0.14,0.33,0.398,0.8,0.8,0.1,0.04,0.01,47,2024,14,363,Other
363 6,0.218,0.138,0.38,0.265,0.83,0.66,0.1,0.03,0.01,47,2024,14,363,Other
363 4,0.525,0.145,0.07,0.26,0.72,0.83,0.1,0.04,0.01,47,2024,14,363,Other
1033 9,0.232,0.02,0.078,0.525,0.77,0.74,0,0,0,34,2024,17,1033,Public park
971 4,0.728,0.02,0.038,0.142,0.56,0.75,0,0,0,34,2024,16,971,Public cemetery
971 9,0.927,0.022,0.007,0.03,0.22,0.69,0,0,0,34,2024,16,971,Public cemetery
